city,city_ascii,state_id,,,county_name,lat,lng,population
Arlington,Arlington,VA,,,Arlington,38.8786,-77.1011,235463
Norfolk,Norfolk,VA,,,Norfolk,36.8945,-76.259,235037
Appleton,Appleton,WI,,,Outagamie,44.278,-88.3892,234701
Enterprise,Enterprise,NV,,,Clark,36.0091,-115.2278,232043
Gulfport,Gulfport,MS,,,Harrison,30.4274,-89.0704,231754
Lafayette,Lafayette,LA,,,Lafayette,30.2082,-92.0325,231548
Bremerton,Bremerton,WA,,,Kitsap,47.5436,-122.7121,228576
Fremont,Fremont,CA,,,Alameda,37.5265,-121.9843,228518
Green Bay,Green Bay,WI,,,Brown,44.5148,-87.9895,227679
Fargo,Fargo,ND,,,Cass,46.8651,-96.8292,225066
Deltona,Deltona,FL,,,Volusia,28.905,-81.2137,224303
Brownsville,Brownsville,TX,,,Cameron,25.9975,-97.458,223416
Hialeah,Hialeah,FL,,,Miami-Dade,25.8696,-80.3045,221901
San Bernardino,San Bernardino,CA,,,San Bernardino,34.1416,-117.2943,221774
Tacoma,Tacoma,WA,,,Pierce,47.2431,-122.4531,220482
Gainesville,Gainesville,FL,,,Alachua,29.6804,-82.3459,219946
Spring Valley,Spring Valley,NV,,,Clark,36.0952,-115.2636,219913
Clarksville,Clarksville,TN,,,Montgomery,36.5692,-87.3413,218159
College Station,College Station,TX,,,Brazos,30.5852,-96.2959,215768
Olympia,Olympia,WA,,,Thurston,47.0417,-122.8959,215677
Roanoke,Roanoke,VA,,,Roanoke,37.2785,-79.9581,214019
Portland,Portland,ME,,,Cumberland,43.6773,-70.2715,213660
Fontana,Fontana,CA,,,San Bernardino,34.0968,-117.4599,211921
Spartanburg,Spartanburg,SC,,,Spartanburg,34.9442,-81.9251,210388
Moreno Valley,Moreno Valley,CA,,,Riverside,33.9244,-117.2045,210378
Frisco,Frisco,TX,,,Collin,33.156,-96.8216,210238
Yonkers,Yonkers,NY,,,Westchester,40.9466,-73.8673,209529
Thousand Oaks,Thousand Oaks,CA,,,Ventura,34.1914,-118.8756,208302
Sioux Falls,Sioux Falls,SD,,,Minnehaha,43.5396,-96.7311,207795
Hagerstown,Hagerstown,MD,,,Washington,39.6401,-77.7217,206889
Evansville,Evansville,IN,,,Vanderburgh,37.9881,-87.5341,206418
Amarillo,Amarillo,TX,,,Potter,35.1984,-101.8316,205100
Kalamazoo,Kalamazoo,MI,,,Kalamazoo,42.2749,-85.5882,204408
Lorain,Lorain,OH,,,Lorain,41.4409,-82.184,203802
Galveston,Galveston,TX,,,Galveston,29.2484,-94.8913,202810
McKinney,McKinney,TX,,,Collin,33.2016,-96.667,202314
Huntington,Huntington,WV,,,Cabell,38.4109,-82.4345,201208
Nampa,Nampa,ID,,,Canyon,43.5844,-116.5638,201129
Hickory,Hickory,NC,,,Catawba,35.741,-81.3223,200500
Waterbury,Waterbury,CT,,,Naugatuck Valley,41.5582,-73.0361,199965
Sunrise Manor,Sunrise Manor,NV,,,Clark,36.1783,-115.0487,199099
Grand Prairie,Grand Prairie,TX,,,Dallas,32.6871,-97.0208,198564
Ocala,Ocala,FL,,,Marion,29.178,-82.1511,197770
Waco,Waco,TX,,,McLennan,31.5599,-97.1882,197594
Overland Park,Overland Park,KS,,,Johnson,38.887,-94.687,197199
Frederick,Frederick,MD,,,Frederick,39.4337,-77.4141,196743
Huntington Beach,Huntington Beach,CA,,,Orange,33.696,-118.0018,196010
Santa Barbara,Santa Barbara,CA,,,Santa Barbara,34.4285,-119.7202,194950
Peoria,Peoria,AZ,,,Maricopa,33.7843,-112.2989,194338
Cedar Rapids,Cedar Rapids,IA,,,Linn,41.9662,-91.6783,192755
Vancouver,Vancouver,WA,,,Clark,45.6366,-122.5967,192696
Glendale,Glendale,CA,,,Los Angeles,34.1819,-118.2468,192270
Gastonia,Gastonia,NC,,,Gaston,35.2494,-81.1854,189767
Spring Hill,Spring Hill,FL,,,Hernando,28.4798,-82.53,188743
Murfreesboro,Murfreesboro,TN,,,Rutherford,35.849,-86.4121,187601
Tempe,Tempe,AZ,,,Maricopa,33.3881,-111.9319,186419
Paradise,Paradise,NV,,,Clark,36.0872,-115.1355,186178
Newport News,Newport News,VA,,,Newport News,37.1051,-76.5185,184774
Erie,Erie,PA,,,Erie,42.1167,-80.0733,184332
Fort Lauderdale,Fort Lauderdale,FL,,,Broward,26.1412,-80.1464,183032
Gainesville,Gainesville,GA,,,Hall,34.2902,-83.8294,182116
Aurora,Aurora,IL,,,Kane,41.7638,-88.2902,179867
Mauldin,Mauldin,SC,,,Greenville,34.7821,-82.3032,179196
Ontario,Ontario,CA,,,San Bernardino,34.0393,-117.6064,178347
Elk Grove,Elk Grove,CA,,,Sacramento,38.4161,-121.3842,177221
Panama City,Panama City,FL,,,Bay,30.1995,-85.6003,177125
Cary,Cary,NC,,,Wake,35.7819,-78.8195,176686
Hemet,Hemet,CA,,,Riverside,33.7341,-116.9969,176009
Danbury,Danbury,CT,,,Western Connecticut,41.4015,-73.4709,175074
Rancho Cucamonga,Rancho Cucamonga,CA,,,San Bernardino,34.1247,-117.5667,174693
Salinas,Salinas,CA,,,Monterey,36.6883,-121.6317,172995
Oceanside,Oceanside,CA,,,San Diego,33.2247,-117.3083,172542
Vallejo,Vallejo,CA,,,Solano,38.1125,-122.2342,171414
High Point,High Point,NC,,,Guilford,35.991,-79.9937,171342
Garden Grove,Garden Grove,CA,,,Orange,33.7787,-117.9601,170603
Pembroke Pines,Pembroke Pines,FL,,,Broward,26.0128,-80.3382,170557
Lancaster,Lancaster,CA,,,Los Angeles,34.6935,-118.1753,170013
Marysville,Marysville,WA,,,Snohomish,48.0809,-122.1561,168664
Bayamón,Bayamon,PR,,,Bayamón,18.3794,-66.1635,167312
Fredericksburg,Fredericksburg,VA,,,Fredericksburg,38.2992,-77.4872,166746
Visalia,Visalia,CA,,,Tulare,36.3276,-119.3269,166273
Tuscaloosa,Tuscaloosa,AL,,,Tuscaloosa,33.2348,-87.5268,166253
Palmdale,Palmdale,CA,,,Los Angeles,34.5944,-118.1057,165487
Santa Cruz,Santa Cruz,CA,,,Santa Cruz,36.9789,-122.0346,165263
Medford,Medford,OR,,,Jackson,42.3372,-122.854,164628
Norwich,Norwich,CT,,,Southeastern Connecticut,41.5495,-72.0882,163299
Merced,Merced,CA,,,Merced,37.3057,-120.4779,163257
Manchester,Manchester,NH,,,Hillsborough,42.9848,-71.4447,162716
Odessa,Odessa,TX,,,Ector,31.8801,-102.3448,162648
Muskegon,Muskegon,MI,,,Muskegon,43.2281,-86.2562,162458
Leesburg,Leesburg,FL,,,Lake,28.7672,-81.8962,161515
Lafayette,Lafayette,IN,,,Tippecanoe,40.3991,-86.8593,160373
Hayward,Hayward,CA,,,Alameda,37.6328,-122.0766,159201
Corona,Corona,CA,,,Riverside,33.8616,-117.5649,158839
Paterson,Paterson,NJ,,,Passaic,40.9147,-74.1624,157660
Alexandria,Alexandria,VA,,,Alexandria,38.8185,-77.0861,156788
Macon,Macon,GA,,,Bibb,32.8065,-83.6974,156543
Lakewood,Lakewood,CO,,,Jefferson,39.6977,-105.1172,156309
Springfield,Springfield,IL,,,Sangamon,39.7709,-89.654,156240
Kansas City,Kansas City,KS,,,Wyandotte,39.1235,-94.7443,154776
Burlington,Burlington,NC,,,Alamance,36.076,-79.4685,154504
Warner Robins,Warner Robins,GA,,,Houston,32.5961,-83.6527,154327
Sunnyvale,Sunnyvale,CA,,,Santa Clara,37.3836,-122.0255,153455
Hollywood,Hollywood,FL,,,Broward,26.0293,-80.1679,152935
Roseville,Roseville,CA,,,Placer,38.7703,-121.3196,152438
New Bedford,New Bedford,MA,,,Bristol,41.6697,-70.9428,152104
South Lyon,South Lyon,MI,,,Oakland,42.4614,-83.6526,151231
Bellevue,Bellevue,WA,,,King,47.5951,-122.1535,151199
Fairfield,Fairfield,CA,,,Solano,38.2583,-122.0335,150794
Binghamton,Binghamton,NY,,,Broome,42.1014,-75.9093,150564
Topeka,Topeka,KS,,,Shawnee,39.0346,-95.6955,150343
Escondido,Escondido,CA,,,San Diego,33.1348,-117.0723,149913
Joliet,Joliet,IL,,,Will,41.5188,-88.1499,149785
Surprise,Surprise,AZ,,,Maricopa,33.6815,-112.4515,149519
Naperville,Naperville,IL,,,DuPage,41.748,-88.1659,149424
Pasadena,Pasadena,TX,,,Harris,29.6575,-95.1498,149345
Mesquite,Mesquite,TX,,,Dallas,32.7602,-96.5865,148848
Champaign,Champaign,IL,,,Champaign,40.1142,-88.2737,148477
Pomona,Pomona,CA,,,Los Angeles,34.0585,-117.7626,148391
Houma,Houma,LA,,,Terrebonne,29.58,-90.7059,147841
Athens,Athens,GA,,,Clarke,33.9508,-83.3689,147368
St. George,St. George,UT,,,Washington,37.0758,-113.5752,147347
Beaumont,Beaumont,TX,,,Jefferson,30.0849,-94.1451,146554
Elkhart,Elkhart,IN,,,Elkhart,41.6916,-85.9627,146511
Lake Charles,Lake Charles,LA,,,Calcasieu,30.201,-93.2111,145110
Santa Maria,Santa Maria,CA,,,Santa Barbara,34.9333,-120.4431,144857
Yuma,Yuma,AZ,,,Yuma,32.5995,-114.5491,144509
Olathe,Olathe,KS,,,Johnson,38.8833,-94.82,143720
Midland,Midland,TX,,,Midland,32.0243,-102.1147,143714
Greeley,Greeley,CO,,,Weld,40.4152,-104.7706,143554
